period,bank_id,register,company_reg_num,company_name_vat,bank_name_mn,bank_name_en,short_name,is_systemic_bank,location_id,aimag_city,region,latitude,longitude,branch_count,settlement_center_count,fx_unit_count,known_unit_count_for_map,note,source_file,loaded_at,bank_join_key,vat_join_key
2026-05,5,2111683,2111683,Аригбанк,Ариг банк,Arig Bank,ARIG,0,7,Орхон,Хангайн бүс,49.027222,104.044444,1,1,0,2,Known by location-bank: branch + settlement center + FX unit only. Representative/other units are available only in bank/location summaries.,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,АРИГ,АРИГ
2026-05,7,2677377,2677377,Капитрон банк,Капитрон банк,Capitron Bank,CAPITRON,0,7,Орхон,Хангайн бүс,49.027222,104.044444,1,2,0,3,Known by location-bank: branch + settlement center + FX unit only. Representative/other units are available only in bank/location summaries.,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,КАПИТРОН,КАПИТРОН
2026-05,8,2578697,2578697,Хас банк,Хас банк,XacBank,XAC,1,7,Орхон,Хангайн бүс,49.027222,104.044444,2,0,0,2,Known by location-bank: branch + settlement center + FX unit only. Representative/other units are available only in bank/location summaries.,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ХАС,ХАС
2026-05,10,5341469,5341469,Төрийн банк,Төрийн банк,State Bank,STATE,1,7,Орхон,Хангайн бүс,49.027222,104.044444,1,9,0,10,Known by location-bank: branch + settlement center + FX unit only. Representative/other units are available only in bank/location summaries.,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ТӨРИЙН,ТӨРИЙН
2026-05,11,5903858,5903858,Богдбанк,Богд банк,Bogd Bank,BOGD,0,7,Орхон,Хангайн бүс,49.027222,104.044444,1,0,0,1,Known by location-bank: branch + settlement center + FX unit only. Representative/other units are available only in bank/location summaries.,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,БОГД,БОГД
2026-05,2,2693321,2693321,Хаан банк,ХААН банк,Khan Bank,KHAN,1,8,Өвөрхангай,Хангайн бүс,46.263889,102.775,1,24,0,25,Known by location-bank: branch + settlement center + FX unit only. Representative/other units are available only in bank/location summaries.,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ХААН,ХААН
2026-05,3,2075377,2075377,Голомтбанк,Голомт банк,Golomt Bank,GOLOMT,1,8,Өвөрхангай,Хангайн бүс,46.263889,102.775,1,0,1,2,Known by location-bank: branch + settlement center + FX unit only. Representative/other units are available only in bank/location summaries.,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ГОЛОМТ,ГОЛОМТ
2026-05,8,2578697,2578697,Хас банк,Хас банк,XacBank,XAC,1,8,Өвөрхангай,Хангайн бүс,46.263889,102.775,1,2,0,3,Known by location-bank: branch + settlement center + FX unit only. Representative/other units are available only in bank/location summaries.,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ХАС,ХАС
2026-05,10,5341469,5341469,Төрийн банк,Төрийн банк,State Bank,STATE,1,8,Өвөрхангай,Хангайн бүс,46.263889,102.775,1,22,0,23,Known by location-bank: branch + settlement center + FX unit only. Representative/other units are available only in bank/location summaries.,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ТӨРИЙН,ТӨРИЙН
2026-05,2,2693321,2693321,Хаан банк,ХААН банк,Khan Bank,KHAN,1,9,Булган,Хангайн бүс,48.8125,103.5347,1,18,0,19,Known by location-bank: branch + settlement center + FX unit only. Representative/other units are available only in bank/location summaries.,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ХААН,ХААН
2026-05,8,2578697,2578697,Хас банк,Хас банк,XacBank,XAC,1,9,Булган,Хангайн бүс,48.8125,103.5347,1,0,0,1,Known by location-bank: branch + settlement center + FX unit only. Representative/other units are available only in bank/location summaries.,2026 оны 05-р сар.pdf,2026-06-29T02:49:55,ХАС,ХАС
